2026-04-13 08:04:06 | INFO     | src.query_engine | _init_vector_db | Connected to ChromaDB: 27 documents
2026-04-13 08:04:10 | WARNING  | src.query_engine | _init_graph_db | Neo4j connection failed: Couldn't connect to localhost:7687 (resolved to ()):
Failed to establish connection to ResolvedIPv6Address(('::1', 7687, 0, 0)) (reason [WinError 10061] No connection could be made because the target machine actively refused it)
Failed to establish connection to ResolvedIPv4Address(('127.0.0.1', 7687)) (reason [WinError 10061] No connection could be made because the target machine actively refused it). Graph features disabled.
2026-04-13 08:04:24 | INFO     | src.query_engine | __init__ | Loaded reranker: cross-encoder/ms-marco-MiniLM-L-6-v2
2026-04-13 08:04:24 | INFO     | src.query_engine | _init_models | Loaded embedding model: all-MiniLM-L6-v2
2026-04-13 08:04:25 | INFO     | src.query_engine | _build_index | Built BM25 index with 27 documents
2026-04-13 08:04:25 | INFO     | src.query_engine | __init__ | QueryEngine initialized successfully
2026-04-13 08:22:51 | INFO     | src.query_engine | _init_vector_db | Connected to ChromaDB: 27 documents
2026-04-13 08:22:54 | INFO     | src.query_engine | _init_graph_db | Connected to Neo4j: bolt://localhost:7687
2026-04-13 08:23:08 | INFO     | src.query_engine | __init__ | Loaded reranker: cross-encoder/ms-marco-MiniLM-L-6-v2
2026-04-13 08:23:08 | INFO     | src.query_engine | _init_models | Loaded embedding model: all-MiniLM-L6-v2
2026-04-13 08:23:09 | INFO     | src.query_engine | _build_index | Built BM25 index with 27 documents
2026-04-13 08:23:09 | INFO     | src.query_engine | __init__ | QueryEngine initialized successfully
2026-04-13 08:29:13 | INFO     | src.query_engine | _init_vector_db | Connected to ChromaDB: 27 documents
2026-04-13 08:29:15 | INFO     | src.query_engine | _init_graph_db | Connected to Neo4j: bolt://localhost:7687
2026-04-13 08:29:28 | INFO     | src.query_engine | __init__ | Loaded reranker: cross-encoder/ms-marco-MiniLM-L-6-v2
2026-04-13 08:29:28 | INFO     | src.query_engine | _init_models | Loaded embedding model: all-MiniLM-L6-v2
2026-04-13 08:29:28 | INFO     | src.query_engine | _build_index | Built BM25 index with 27 documents
2026-04-13 08:29:28 | INFO     | src.query_engine | __init__ | QueryEngine initialized successfully
2026-04-13 08:29:28 | INFO     | src.query_engine | answer | Processing question: What is the effective date?
2026-04-13 08:33:20 | INFO     | src.query_engine | _init_vector_db | Connected to ChromaDB: 27 documents
2026-04-13 08:33:22 | INFO     | src.query_engine | _init_graph_db | Connected to Neo4j: bolt://localhost:7687
2026-04-13 08:33:34 | INFO     | src.query_engine | __init__ | Loaded reranker: cross-encoder/ms-marco-MiniLM-L-6-v2
2026-04-13 08:33:34 | INFO     | src.query_engine | _init_models | Loaded embedding model: all-MiniLM-L6-v2
2026-04-13 08:33:34 | INFO     | src.query_engine | _build_index | Built BM25 index with 27 documents
2026-04-13 08:33:34 | INFO     | src.query_engine | __init__ | QueryEngine initialized successfully
2026-04-13 08:33:34 | INFO     | src.query_engine | answer | Processing question: What is the effective date?
2026-04-13 08:35:18 | INFO     | src.query_engine | _init_vector_db | Connected to ChromaDB: 27 documents
2026-04-13 08:35:20 | INFO     | src.query_engine | _init_graph_db | Connected to Neo4j: bolt://localhost:7687
2026-04-13 08:35:31 | INFO     | src.query_engine | __init__ | Loaded reranker: cross-encoder/ms-marco-MiniLM-L-6-v2
2026-04-13 08:35:31 | INFO     | src.query_engine | _init_models | Loaded embedding model: all-MiniLM-L6-v2
2026-04-13 08:35:32 | INFO     | src.query_engine | _build_index | Built BM25 index with 27 documents
2026-04-13 08:35:32 | INFO     | src.query_engine | __init__ | QueryEngine initialized successfully
2026-04-13 08:35:32 | INFO     | src.query_engine | answer | Processing question: What is the effective date?
2026-04-13 08:37:05 | INFO     | src.query_engine | answer | Generated answer: The answer is not found in the documents....
2026-04-13 08:38:16 | INFO     | src.query_engine | _init_vector_db | Connected to ChromaDB: 27 documents
2026-04-13 08:38:18 | INFO     | src.query_engine | _init_graph_db | Connected to Neo4j: bolt://localhost:7687
2026-04-13 08:38:34 | INFO     | src.query_engine | __init__ | Loaded reranker: cross-encoder/ms-marco-MiniLM-L-6-v2
2026-04-13 08:38:34 | INFO     | src.query_engine | _init_models | Loaded embedding model: all-MiniLM-L6-v2
2026-04-13 08:38:34 | INFO     | src.query_engine | _build_index | Built BM25 index with 27 documents
2026-04-13 08:38:34 | INFO     | src.query_engine | __init__ | QueryEngine initialized successfully
2026-04-13 08:38:34 | INFO     | src.query_engine | answer | Processing question: What is the original agreement?
2026-04-13 08:39:24 | INFO     | src.query_engine | answer | Generated answer: The answer is not found in the documents....
2026-04-13 08:40:15 | INFO     | src.query_engine | _init_vector_db | Connected to ChromaDB: 27 documents
2026-04-13 08:40:18 | INFO     | src.query_engine | _init_graph_db | Connected to Neo4j: bolt://localhost:7687
2026-04-13 08:40:31 | INFO     | src.query_engine | __init__ | Loaded reranker: cross-encoder/ms-marco-MiniLM-L-6-v2
2026-04-13 08:40:31 | INFO     | src.query_engine | _init_models | Loaded embedding model: all-MiniLM-L6-v2
2026-04-13 08:40:32 | INFO     | src.query_engine | _build_index | Built BM25 index with 27 documents
2026-04-13 08:40:32 | INFO     | src.query_engine | __init__ | QueryEngine initialized successfully
2026-04-13 08:46:51 | INFO     | src.query_engine | _init_vector_db | Connected to ChromaDB: 27 documents
2026-04-13 08:46:53 | INFO     | src.query_engine | _init_graph_db | Connected to Neo4j: bolt://localhost:7687
2026-04-13 08:47:04 | INFO     | src.query_engine | __init__ | Loaded reranker: cross-encoder/ms-marco-MiniLM-L-6-v2
2026-04-13 08:47:04 | INFO     | src.query_engine | _init_models | Loaded embedding model: all-MiniLM-L6-v2
2026-04-13 08:47:05 | INFO     | src.query_engine | _build_index | Built BM25 index with 27 documents
2026-04-13 08:47:05 | INFO     | src.query_engine | __init__ | QueryEngine initialized successfully
2026-04-13 08:48:00 | INFO     | src.query_engine | answer | Processing question: what is the law please
2026-04-13 08:49:47 | INFO     | src.query_engine | answer | Generated answer: The answer is not found in the documents....
2026-04-13 08:52:35 | INFO     | src.query_engine | answer | Processing question: what is Labour migration
2026-04-13 08:54:09 | INFO     | src.query_engine | answer | Generated answer: The answer is not found in the documents....
2026-04-13 09:16:22 | INFO     | __main__ | main | ============================================================
2026-04-13 09:16:22 | INFO     | __main__ | main | Phase 1: Production PDF Parser
2026-04-13 09:16:22 | INFO     | __main__ | main | ============================================================
2026-04-13 09:16:22 | INFO     | __main__ | parse_all_documents | Found 9 documents in manifest
2026-04-13 09:16:22 | INFO     | __main__ | parse_single_document | Parsing: doc_001 - Original Agreement
2026-04-13 09:16:23 | INFO     | __main__ | parse_single_document | Parsed doc_001: 62 pages, 157,709 chars, 23,051 words
2026-04-13 09:16:23 | INFO     | src.utils | __exit__ | Parse doc_001 completed in 0.60s
2026-04-13 09:16:23 | INFO     | __main__ | parse_single_document | Parsing: doc_002 - First Amendment
2026-04-13 09:16:24 | INFO     | __main__ | parse_single_document | Parsed doc_002: 103 pages, 297,931 chars, 43,532 words
2026-04-13 09:16:24 | INFO     | src.utils | __exit__ | Parse doc_002 completed in 1.42s
2026-04-13 09:16:24 | INFO     | __main__ | parse_single_document | Parsing: doc_003 - Second Amendment
2026-04-13 09:16:26 | INFO     | __main__ | parse_single_document | Parsed doc_003: 103 pages, 295,787 chars, 43,429 words
2026-04-13 09:16:26 | INFO     | src.utils | __exit__ | Parse doc_003 completed in 1.38s
2026-04-13 09:16:26 | INFO     | __main__ | parse_single_document | Parsing: doc_004 - Restated Agreement
2026-04-13 09:16:27 | INFO     | __main__ | parse_single_document | Parsed doc_004: 248 pages, 531,902 chars, 79,623 words
2026-04-13 09:16:27 | INFO     | src.utils | __exit__ | Parse doc_004 completed in 0.97s
2026-04-13 09:16:27 | INFO     | __main__ | parse_single_document | Parsing: doc_005 - Letter Agreement - Fee Waiver
2026-04-13 09:16:27 | INFO     | __main__ | parse_single_document | Parsed doc_005: 17 pages, 12,997 chars, 1,950 words
2026-04-13 09:16:27 | INFO     | src.utils | __exit__ | Parse doc_005 completed in 0.12s
2026-04-13 09:16:27 | INFO     | __main__ | parse_single_document | Parsing: doc_006 - Third Amendment
2026-04-13 09:16:27 | INFO     | __main__ | parse_single_document | Parsed doc_006: 25 pages, 74,041 chars, 13,325 words
2026-04-13 09:16:27 | INFO     | src.utils | __exit__ | Parse doc_006 completed in 0.22s
2026-04-13 09:16:27 | INFO     | __main__ | parse_single_document | Parsing: doc_007 - Termination Notice
2026-04-13 09:16:29 | INFO     | __main__ | parse_single_document | Parsed doc_007: 438 pages, 906,416 chars, 137,407 words
2026-04-13 09:16:29 | INFO     | src.utils | __exit__ | Parse doc_007 completed in 2.14s
2026-04-13 09:16:29 | INFO     | __main__ | parse_single_document | Parsing: doc_008 - Reinstatement Agreement
2026-04-13 09:16:30 | INFO     | __main__ | parse_single_document | Parsed doc_008: 152 pages, 294,237 chars, 42,664 words
2026-04-13 09:16:30 | INFO     | src.utils | __exit__ | Parse doc_008 completed in 0.82s
2026-04-13 09:16:30 | INFO     | __main__ | parse_single_document | Parsing: doc_a540bf45 - experience for gere (1).pdf
2026-04-13 09:16:30 | WARNING  | __main__ | extract_text_with_metadata | Possible scanned PDF detected: doc_a540bf45.pdf
2026-04-13 09:16:30 | INFO     | __main__ | _attempt_ocr_fallback | Attempting OCR on doc_a540bf45.pdf...
2026-04-13 09:16:30 | ERROR    | __main__ | _attempt_ocr_fallback | OCR failed: Unable to get page count. Is poppler installed and in PATH?
2026-04-13 09:16:30 | INFO     | __main__ | parse_single_document | Parsed doc_a540bf45: 1 pages, 26 chars, 5 words
2026-04-13 09:16:30 | INFO     | src.utils | __exit__ | Parse doc_a540bf45 completed in 0.15s
2026-04-13 09:16:30 | INFO     | __main__ | parse_all_documents | Parsing complete: 9/9 successful
2026-04-13 09:16:30 | INFO     | __main__ | main | ✅ Successfully parsed 9 documents
